0.121626,Froslass,powder snow.avalanche.shadow ball,Alolan sandslash,powder snow.gyro ball.bulldoze,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.solar beam,Tropius,razor leaf.leaf blade.aerial ace,Magneton,thunder shock.discharge.magnet bomb
0.121626,Lapras,ice shard.dragon pulse.surf,Dewgong,ice shard.icy wind.water pulse,Torterra,razor leaf.stone edge.solar beamTropius,razor leaf.leaf blade.aerial ace,Lanturn,water gun.thunderbolt.hydro pump,Magneton,thunder shock.discharge.magnet bomb
0.121628,Sealeo,water gun.body slam.aurora beam,Sneasel,ice shard.ice punch.foul play,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.earthquake,Tropius,razor leaf.leaf blade.aerial ace,Skarmory,steel wing.sky attack.flash cannon
0.121629,Lapras,ice shard.surf.ice beam,Walrein,waterfall.water pulse.earthquake,Abomasnow,razor leaf.outrage.blizzardSkarmory,steel wing.sky attack.flash cannon,Alolan golem,rock throw.rock blast.wild charge,Quagsire,mud shot.stone edge.earthquake
0.121629,Abomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.earthquake,Tropius,razor leaf.leaf blade.aerial aceAlolan graveler,rock throw.rock blast.thunderbolt,Lanturn,water gun.thunderbolt.hydro pump,Charizard,fire spin.blast burn.dragon claw
0.12163,Sealeo,water gun.body slam.aurora beam,Froslass,powder snow.avalanche.shadow ball,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.solar beam,Tropius,razor leaf.leaf blade.aerial ace,Alolan graveler,rock throw.rock blast.thunderbolt
0.121631,Walrein,waterfall.water pulse.earthquake,Sealeo,water gun.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTropius,razor leaf.leaf blade.aerial ace,Lanturn,charge beam.thunderbolt.hydro pump,Quagsire,mud shot.stone edge.earthquake
0.121632,Alolan ninetales,powder snow.ice beam.dazzling gleam,Abomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.solar beamTropius,razor leaf.leaf blade.aerial ace,Skarmory,air slash.sky attack.flash cannon,Lanturn,water gun.thunderbolt.hydro pump
0.121633,Alolan sandslash,powder snow.gyro ball.bulldoze,Abomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.solar beamTropius,razor leaf.leaf blade.aerial ace,Lanturn,water gun.thunderbolt.hydro pump,Charizard,fire spin.blast burn.dragon claw
0.121634,Walrein,frost breath.water pulse.blizzard,Sealeo,water gun.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.earthquake,Tropius,razor leaf.leaf blade.aerial ace,Lanturn,water gun.thunderbolt.hydro pump
0.121634,Lapras,ice shard.dragon pulse.surf,Walrein,waterfall.water pulse.earthquake,Abomasnow,razor leaf.outrage.blizzardSkarmory,steel wing.sky attack.flash cannon,Steelix,dragon tail.crunch.heavy slam,Magneton,thunder shock.discharge.magnet bomb
0.121634,Walrein,waterfall.water pulse.earthquake,Sealeo,water gun.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTropius,razor leaf.leaf blade.aerial ace,Magneton,thunder shock.discharge.magnet bomb,Whiscash,mud shot.mud bomb.water pulse
0.121634,Altaria,dragon breat.sky attack.dragon pulse,Lapras,ice shard.surf.ice beam,Sealeo,water gun.body slam.aurora beamAbomasnow,razor leaf.outrage.blizzard,Alolan graveler,rock throw.rock blast.thunderbolt,Magneton,thunder shock.discharge.magnet bomb
0.121641,Lapras,water gun.surf.blizzard,Abomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.earthquakeSteelix,dragon tail.crunch.heavy slam,Lanturn,water gun.thunderbolt.hydro pump,Magneton,thunder shock.discharge.magnet bomb
0.121642,Lapras,ice shard.dragon pulse.surf,Alolan ninetales,powder snow.ice beam.dazzling gleam,Abomasnow,razor leaf.outrage.blizzardTropius,razor leaf.leaf blade.aerial ace,Alolan golem,rock throw.rock blast.wild charge,Quagsire,mud shot.stone edge.earthquake
0.121645,Lapras,water gun.surf.blizzard,Walrein,waterfall.water pulse.earthquake,Alolan sandslash,powder snow.gyro ball.bulldozeAbomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial ace,Alolan graveler,rock throw.rock blast.thunderbolt
0.121645,Lapras,ice shard.surf.ice beam,Sealeo,water gun.body slam.aurora beam,Dewgong,ice shard.icy wind.water pulseAbomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.earthquake,Skarmory,air slash.sky attack.flash cannon
0.121648,Lapras,ice shard.dragon pulse.surf,Abomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.earthquakeTropius,razor leaf.leaf blade.aerial ace,Lanturn,charge beam.thunderbolt.hydro pump,Charizard,fire spin.blast burn.dragon claw
0.121649,Lapras,water gun.surf.blizzard,Sealeo,water gun.body slam.aurora beam,Dewgong,ice shard.icy wind.water pulseAbomasnow,razor leaf.outrage.blizzard,Skarmory,steel wing.sky attack.flash cannon,Lanturn,water gun.thunderbolt.hydro pump
0.121649,Lapras,water gun.surf.blizzard,Lapras,ice shard.dragon pulse.surf,Alolan sandslash,powder snow.gyro ball.bulldozeAbomasnow,razor leaf.outrage.blizzard,Skarmory,steel wing.sky attack.flash cannon,Steelix,dragon tail.crunch.heavy slam
0.121649,Lapras,water gun.surf.blizzard,Sealeo,water gun.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.solar beam,Steelix,dragon tail.crunch.heavy slam,Lanturn,water gun.thunderbolt.hydro pump
0.121649,Lapras,water gun.surf.blizzard,Sealeo,water gun.body slam.aurora beam,Alolan sandslash,powder snow.gyro ball.bulldozeAbomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial ace,Whiscash,mud shot.mud bomb.water pulse
0.12165,Altaria,dragon breat.sky attack.dragon pulse,Sealeo,powder snow.body slam.aurora beam,Dewgong,ice shard.icy wind.water pulseAbomasnow,razor leaf.outrage.blizzard,Torterra,razor leaf.stone edge.earthquake,Tropius,razor leaf.leaf blade.aerial ace
0.121652,Lapras,ice shard.surf.ice beam,Sealeo,powder snow.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.earthquake,Skarmory,steel wing.sky attack.flash cannon,Lanturn,charge beam.thunderbolt.hydro pump
0.121654,Lapras,ice shard.surf.ice beam,Abomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial aceSkarmory,air slash.sky attack.flash cannon,Steelix,dragon tail.crunch.heavy slam,Whiscash,mud shot.mud bomb.water pulse
0.121654,Lapras,water gun.surf.blizzard,Sealeo,water gun.body slam.aurora beam,Abomasnow,razor leaf.outrage.blizzardTropius,razor leaf.leaf blade.aerial ace,Steelix,dragon tail.crunch.heavy slam,Mantine,bubble.ice beam.aerial ace
0.121655,Lapras,water gun.surf.blizzard,Walrein,waterfall.water pulse.earthquake,Alolan ninetales,powder snow.ice beam.psyshockAbomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial ace,Skarmory,steel wing.sky attack.flash cannon
0.121655,Lapras,ice shard.surf.ice beam,Sealeo,water gun.body slam.aurora beam,Piloswine,powder snow.avalanche.stone edgeAbomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial ace,Alolan golem,rock throw.rock blast.wild charge
0.121656,Altaria,dragon breat.sky attack.dragon pulse,Lapras,ice shard.dragon pulse.surf,Dewgong,ice shard.icy wind.water pulseAbomasnow,razor leaf.outrage.blizzard,Skarmory,steel wing.sky attack.flash cannon,Lanturn,water gun.thunderbolt.hydro pump
0.121656,Altaria,dragon breat.sky attack.dragon pulse,Lapras,ice shard.dragon pulse.surf,Alolan sandslash,powder snow.gyro ball.bulldozeAbomasnow,razor leaf.outrage.blizzard,Tropius,razor leaf.leaf blade.aerial ace,Whiscash,mud shot.mud bomb.water pulse
0.121657,Altaria,dragon breat.sky attack.dragon pulse,Lapras,ice shard.dragon pulse.surf,Abomasnow,razor leaf.outrage.blizzardTorterra,razor leaf.stone edge.solar beam,Steelix,dragon tail.crunch.heavy slam,Lanturn,water gun.thunderbolt.hydro pump
0.121657,Lapras,ice shard.surf.ice beam,Cloyster,ice shard.avalanche.hydro pump,Abomasnow,razor leaf.outrage.blizzardTropius,razor leaf.leaf blade.aerial ace,Alolan graveler,rock throw.rock blast.thunderbolt,Quagsire,mud shot.stone edge.earthquake
